data,variavel,valor,peso,subgrupo
12-2009,Chã de dentro,-0.1,0.2732,Alimentação no domicílio
12-2010,Chã de dentro,0.125,0.2732,Alimentação no domicílio
12-2011,Chã de dentro,0.103,0.2732,Alimentação no domicílio
12-2012,Chã de dentro,0.013,0.2732,Alimentação no domicílio
12-2013,Chã de dentro,0.015,0.2732,Alimentação no domicílio
05-2014,Chã de dentro,0.041,0.2732,Alimentação no domicílio
12-1994,Alimento para animais,0,0.2517,Recreação e fumo
12-1995,Alimento para animais,-0.183,0.2517,Recreação e fumo
12-1996,Alimento para animais,-0.254,0.2517,Recreação e fumo
12-1997,Alimento para animais,-0.291,0.2517,Recreação e fumo
12-1998,Alimento para animais,-0.303,0.2517,Recreação e fumo
12-1999,Alimento para animais,-0.343,0.2517,Recreação e fumo
12-2000,Alimento para animais,-0.335,0.2517,Recreação e fumo
12-2001,Alimento para animais,-0.317,0.2517,Recreação e fumo
12-2002,Alimento para animais,-0.33,0.2517,Recreação e fumo
12-2003,Alimento para animais,-0.278,0.2517,Recreação e fumo
12-2004,Alimento para animais,-0.228,0.2517,Recreação e fumo
12-2005,Alimento para animais,-0.215,0.2517,Recreação e fumo
12-2006,Alimento para animais,-0.159,0.2517,Recreação e fumo
12-2007,Alimento para animais,-0.137,0.2517,Recreação e fumo
12-2008,Alimento para animais,-0.068,0.2517,Recreação e fumo
12-2009,Alimento para animais,-0.073,0.2517,Recreação e fumo
12-2010,Alimento para animais,-0.112,0.2517,Recreação e fumo
12-2011,Alimento para animais,-0.152,0.2517,Recreação e fumo
12-2012,Alimento para animais,-0.166,0.2517,Recreação e fumo
12-2013,Alimento para animais,-0.144,0.2517,Recreação e fumo
05-2014,Alimento para animais,-0.146,0.2517,Recreação e fumo
12-1994,Leite em pó,0,0.2453,Alimentação no domicílio
12-1995,Leite em pó,0.044,0.2453,Alimentação no domicílio
12-1996,Leite em pó,-0.076,0.2453,Alimentação no domicílio
12-1997,Leite em pó,-0.134,0.2453,Alimentação no domicílio
12-1998,Leite em pó,-0.171,0.2453,Alimentação no domicílio
12-1999,Leite em pó,-0.135,0.2453,Alimentação no domicílio
12-2000,Leite em pó,-0.138,0.2453,Alimentação no domicílio
12-2001,Leite em pó,-0.148,0.2453,Alimentação no domicílio
12-2002,Leite em pó,-0.152,0.2453,Alimentação no domicílio
12-2003,Leite em pó,-0.137,0.2453,Alimentação no domicílio
12-2004,Leite em pó,-0.151,0.2453,Alimentação no domicílio
12-2005,Leite em pó,-0.103,0.2453,Alimentação no domicílio
12-2006,Leite em pó,-0.211,0.2453,Alimentação no domicílio
12-2007,Leite em pó,0.105,0.2453,Alimentação no domicílio
12-2008,Leite em pó,-0.061,0.2453,Alimentação no domicílio
12-2009,Leite em pó,-0.075,0.2453,Alimentação no domicílio
12-2010,Leite em pó,-0.072,0.2453,Alimentação no domicílio
12-2011,Leite em pó,-0.046,0.2453,Alimentação no domicílio
12-2012,Leite em pó,0.003,0.2453,Alimentação no domicílio
12-2013,Leite em pó,0.142,0.2453,Alimentação no domicílio
05-2014,Leite em pó,0.134,0.2453,Alimentação no domicílio
12-1994,Ovo de galinha,0,0.2407,Alimentação no domicílio
12-1995,Ovo de galinha,-0.193,0.2407,Alimentação no domicílio
12-1996,Ovo de galinha,-0.115,0.2407,Alimentação no domicílio
12-1997,Ovo de galinha,-0.128,0.2407,Alimentação no domicílio
12-1998,Ovo de galinha,-0.148,0.2407,Alimentação no domicílio
12-1999,Ovo de galinha,-0.098,0.2407,Alimentação no domicílio
12-2000,Ovo de galinha,-0.037,0.2407,Alimentação no domicílio
12-2001,Ovo de galinha,-0.067,0.2407,Alimentação no domicílio
12-2002,Ovo de galinha,0.202,0.2407,Alimentação no domicílio
12-2003,Ovo de galinha,0.166,0.2407,Alimentação no domicílio
12-2004,Ovo de galinha,-0.022,0.2407,Alimentação no domicílio
12-2005,Ovo de galinha,-0.016,0.2407,Alimentação no domicílio
12-2006,Ovo de galinha,-0.081,0.2407,Alimentação no domicílio
12-2007,Ovo de galinha,0.109,0.2407,Alimentação no domicílio
12-2008,Ovo de galinha,0.134,0.2407,Alimentação no domicílio
12-2009,Ovo de galinha,0.128,0.2407,Alimentação no domicílio
12-2010,Ovo de galinha,0.123,0.2407,Alimentação no domicílio
12-2011,Ovo de galinha,0.151,0.2407,Alimentação no domicílio
12-2012,Ovo de galinha,0.292,0.2407,Alimentação no domicílio
12-2013,Ovo de galinha,0.334,0.2407,Alimentação no domicílio
05-2014,Ovo de galinha,0.463,0.2407,Alimentação no domicílio
12-1994,Roupa de cama,0,0.2385,Móveis e utensílios
12-1995,Roupa de cama,-0.046,0.2385,Móveis e utensílios
12-1996,Roupa de cama,-0.209,0.2385,Móveis e utensílios
12-1997,Roupa de cama,-0.282,0.2385,Móveis e utensílios
12-1998,Roupa de cama,-0.312,0.2385,Móveis e utensílios
12-1999,Roupa de cama,-0.323,0.2385,Móveis e utensílios
12-2000,Roupa de cama,-0.324,0.2385,Móveis e utensílios
12-2001,Roupa de cama,-0.335,0.2385,Móveis e utensílios
12-2002,Roupa de cama,-0.343,0.2385,Móveis e utensílios
12-2003,Roupa de cama,-0.314,0.2385,Móveis e utensílios
12-2004,Roupa de cama,-0.337,0.2385,Móveis e utensílios
12-2005,Roupa de cama,-0.362,0.2385,Móveis e utensílios
12-2006,Roupa de cama,-0.386,0.2385,Móveis e utensílios
12-2007,Roupa de cama,-0.419,0.2385,Móveis e utensílios
12-2008,Roupa de cama,-0.423,0.2385,Móveis e utensílios
12-2009,Roupa de cama,-0.432,0.2385,Móveis e utensílios
12-2010,Roupa de cama,-0.438,0.2385,Móveis e utensílios
12-2011,Roupa de cama,-0.447,0.2385,Móveis e utensílios
12-2012,Roupa de cama,-0.486,0.2385,Móveis e utensílios
12-2013,Roupa de cama,-0.489,0.2385,Móveis e utensílios
05-2014,Roupa de cama,-0.491,0.2385,Móveis e utensílios
12-1994,Short e bermuda masculina,0,0.2367,Roupas
12-1995,Short e bermuda masculina,-0.141,0.2367,Roupas
12-1996,Short e bermuda masculina,-0.241,0.2367,Roupas
12-1997,Short e bermuda masculina,-0.285,0.2367,Roupas
12-1998,Short e bermuda masculina,-0.305,0.2367,Roupas
12-1999,Short e bermuda masculina,-0.315,0.2367,Roupas
12-2000,Short e bermuda masculina,-0.338,0.2367,Roupas
12-2001,Short e bermuda masculina,-0.324,0.2367,Roupas
12-2002,Short e bermuda masculina,-0.355,0.2367,Roupas
12-2003,Short e bermuda masculina,-0.365,0.2367,Roupas
12-2004,Short e bermuda masculina,-0.35,0.2367,Roupas
12-2005,Short e bermuda masculina,-0.345,0.2367,Roupas
12-2006,Short e bermuda masculina,-0.338,0.2367,Roupas
12-2007,Short e bermuda masculina,-0.328,0.2367,Roupas
12-2008,Short e bermuda masculina,-0.346,0.2367,Roupas
12-2009,Short e bermuda masculina,-0.308,0.2367,Roupas
12-2010,Short e bermuda masculina,-0.282,0.2367,Roupas
12-2011,Short e bermuda masculina,-0.251,0.2367,Roupas
12-2012,Short e bermuda masculina,-0.261,0.2367,Roupas
12-2013,Short e bermuda masculina,-0.25,0.2367,Roupas
05-2014,Short e bermuda masculina,-0.276,0.2367,Roupas
12-1994,Anti-infeccioso e antibiótico,0,0.2318,Produtos farmacêuticos. óculos e lentes
12-1995,Anti-infeccioso e antibiótico,-0.033,0.2318,Produtos farmacêuticos. óculos e lentes
12-1996,Anti-infeccioso e antibiótico,0.009,0.2318,Produtos farmacêuticos. óculos e lentes
12-1997,Anti-infeccioso e antibiótico,0.062,0.2318,Produtos farmacêuticos. óculos e lentes
12-1998,Anti-infeccioso e antibiótico,0.175,0.2318,Produtos farmacêuticos. óculos e lentes
12-1999,Anti-infeccioso e antibiótico,0.233,0.2318,Produtos farmacêuticos. óculos e lentes
12-2000,Anti-infeccioso e antibiótico,0.152,0.2318,Produtos farmacêuticos. óculos e lentes
12-2001,Anti-infeccioso e antibiótico,0.068,0.2318,Produtos farmacêuticos. óculos e lentes
12-2002,Anti-infeccioso e antibiótico,0.036,0.2318,Produtos farmacêuticos. óculos e lentes
12-2003,Anti-infeccioso e antibiótico,0.035,0.2318,Produtos farmacêuticos. óculos e lentes
12-2004,Anti-infeccioso e antibiótico,0.023,0.2318,Produtos farmacêuticos. óculos e lentes
12-2005,Anti-infeccioso e antibiótico,0.021,0.2318,Produtos farmacêuticos. óculos e lentes
12-2006,Anti-infeccioso e antibiótico,0.035,0.2318,Produtos farmacêuticos. óculos e lentes
12-2007,Anti-infeccioso e antibiótico,-0.025,0.2318,Produtos farmacêuticos. óculos e lentes
12-2008,Anti-infeccioso e antibiótico,-0.033,0.2318,Produtos farmacêuticos. óculos e lentes
12-2009,Anti-infeccioso e antibiótico,-0.028,0.2318,Produtos farmacêuticos. óculos e lentes
12-2010,Anti-infeccioso e antibiótico,-0.044,0.2318,Produtos farmacêuticos. óculos e lentes
12-2011,Anti-infeccioso e antibiótico,-0.055,0.2318,Produtos farmacêuticos. óculos e lentes
12-2012,Anti-infeccioso e antibiótico,-0.059,0.2318,Produtos farmacêuticos. óculos e lentes
12-2013,Anti-infeccioso e antibiótico,-0.065,0.2318,Produtos farmacêuticos. óculos e lentes
05-2014,Anti-infeccioso e antibiótico,-0.056,0.2318,Produtos farmacêuticos. óculos e lentes
12-1994,Tinta,0,0.2299,Encargos e manutenção
12-1995,Tinta,0.039,0.2299,Encargos e manutenção
12-1996,Tinta,-0.025,0.2299,Encargos e manutenção
12-1997,Tinta,-0.069,0.2299,Encargos e manutenção
12-1998,Tinta,-0.045,0.2299,Encargos e manutenção
12-1999,Tinta,0.064,0.2299,Encargos e manutenção
12-2000,Tinta,0.031,0.2299,Encargos e manutenção
12-2001,Tinta,0.072,0.2299,Encargos e manutenção
12-2002,Tinta,0.089,0.2299,Encargos e manutenção
12-2003,Tinta,0.075,0.2299,Encargos e manutenção
12-2004,Tinta,0.098,0.2299,Encargos e manutenção
12-2005,Tinta,0.101,0.2299,Encargos e manutenção
12-2006,Tinta,0.062,0.2299,Encargos e manutenção
12-2007,Tinta,0.029,0.2299,Encargos e manutenção
12-2008,Tinta,0.049,0.2299,Encargos e manutenção
12-2009,Tinta,0.031,0.2299,Encargos e manutenção
12-2010,Tinta,-0.023,0.2299,Encargos e manutenção
12-2011,Tinta,0.012,0.2299,Encargos e manutenção
12-2012,Tinta,0.026,0.2299,Encargos e manutenção
12-2013,Tinta,0.044,0.2299,Encargos e manutenção
05-2014,Tinta,0.044,0.2299,Encargos e manutenção
12-1994,Carne de porco,0,0.2261,Alimentação no domicílio
12-1995,Carne de porco,-0.308,0.2261,Alimentação no domicílio
12-1996,Carne de porco,-0.369,0.2261,Alimentação no domicílio
12-1997,Carne de porco,-0.368,0.2261,Alimentação no domicílio
12-1998,Carne de porco,-0.396,0.2261,Alimentação no domicílio
12-1999,Carne de porco,-0.316,0.2261,Alimentação no domicílio
12-2000,Carne de porco,-0.355,0.2261,Alimentação no domicílio
12-2001,Carne de porco,-0.311,0.2261,Alimentação no domicílio
12-2002,Carne de porco,-0.36,0.2261,Alimentação no domicílio
12-2003,Carne de porco,-0.294,0.2261,Alimentação no domicílio
12-2004,Carne de porco,-0.168,0.2261,Alimentação no domicílio
12-2005,Carne de porco,-0.274,0.2261,Alimentação no domicílio
12-2006,Carne de porco,-0.377,0.2261,Alimentação no domicílio
12-2007,Carne de porco,-0.318,0.2261,Alimentação no domicílio
12-2008,Carne de porco,-0.208,0.2261,Alimentação no domicílio
12-2009,Carne de porco,-0.319,0.2261,Alimentação no domicílio
12-2010,Carne de porco,-0.232,0.2261,Alimentação no domicílio
12-2011,Carne de porco,-0.292,0.2261,Alimentação no domicílio
12-2012,Carne de porco,-0.271,0.2261,Alimentação no domicílio
12-2013,Carne de porco,-0.263,0.2261,Alimentação no domicílio
05-2014,Carne de porco,-0.268,0.2261,Alimentação no domicílio
12-1994,Iogurte e bebidas lácteas,0,0.2233,Alimentação no domicílio
12-1995,Iogurte e bebidas lácteas,0.003,0.2233,Alimentação no domicílio
12-1996,Iogurte e bebidas lácteas,-0.052,0.2233,Alimentação no domicílio
12-1997,Iogurte e bebidas lácteas,-0.072,0.2233,Alimentação no domicílio
12-1998,Iogurte e bebidas lácteas,-0.095,0.2233,Alimentação no domicílio
12-1999,Iogurte e bebidas lácteas,-0.138,0.2233,Alimentação no domicílio
12-2000,Iogurte e bebidas lácteas,-0.172,0.2233,Alimentação no domicílio
12-2001,Iogurte e bebidas lácteas,-0.233,0.2233,Alimentação no domicílio
12-2002,Iogurte e bebidas lácteas,-0.228,0.2233,Alimentação no domicílio
12-2003,Iogurte e bebidas lácteas,-0.168,0.2233,Alimentação no domicílio
12-2004,Iogurte e bebidas lácteas,-0.198,0.2233,Alimentação no domicílio
12-2005,Iogurte e bebidas lácteas,-0.253,0.2233,Alimentação no domicílio
12-2006,Iogurte e bebidas lácteas,-0.293,0.2233,Alimentação no domicílio
12-2007,Iogurte e bebidas lácteas,-0.257,0.2233,Alimentação no domicílio
12-2008,Iogurte e bebidas lácteas,-0.313,0.2233,Alimentação no domicílio
12-2009,Iogurte e bebidas lácteas,-0.358,0.2233,Alimentação no domicílio
12-2010,Iogurte e bebidas lácteas,-0.382,0.2233,Alimentação no domicílio
12-2011,Iogurte e bebidas lácteas,-0.388,0.2233,Alimentação no domicílio
12-2012,Iogurte e bebidas lácteas,-0.402,0.2233,Alimentação no domicílio
12-2013,Iogurte e bebidas lácteas,-0.377,0.2233,Alimentação no domicílio
05-2014,Iogurte e bebidas lácteas,-0.352,0.2233,Alimentação no domicílio
12-1994,Pneu,0,0.2223,Transporte
12-1995,Pneu,-0.111,0.2223,Transporte
12-1996,Pneu,-0.128,0.2223,Transporte
12-1997,Pneu,-0.145,0.2223,Transporte
12-1998,Pneu,-0.162,0.2223,Transporte
12-1999,Pneu,-0.123,0.2223,Transporte
12-2000,Pneu,-0.139,0.2223,Transporte
12-2001,Pneu,-0.092,0.2223,Transporte
12-2002,Pneu,0.012,0.2223,Transporte
12-2003,Pneu,0.116,0.2223,Transporte
12-2004,Pneu,0.224,0.2223,Transporte
12-2005,Pneu,0.189,0.2223,Transporte
12-2006,Pneu,0.131,0.2223,Transporte
12-2007,Pneu,0.058,0.2223,Transporte
12-2008,Pneu,0.105,0.2223,Transporte
12-2009,Pneu,0.072,0.2223,Transporte
12-2010,Pneu,0.047,0.2223,Transporte
12-2011,Pneu,0.011,0.2223,Transporte
12-2012,Pneu,-0.02,0.2223,Transporte
12-2013,Pneu,-0.036,0.2223,Transporte
05-2014,Pneu,-0.056,0.2223,Transporte
12-1994,Televisor,0,0.2222,Aparelhos elétricos e não-elétricos
12-1995,Televisor,-0.256,0.2222,Aparelhos elétricos e não-elétricos
12-1996,Televisor,-0.349,0.2222,Aparelhos elétricos e não-elétricos
12-1997,Televisor,-0.501,0.2222,Aparelhos elétricos e não-elétricos
12-1998,Televisor,-0.533,0.2222,Aparelhos elétricos e não-elétricos
12-1999,Televisor,-0.462,0.2222,Aparelhos elétricos e não-elétricos
12-2000,Televisor,-0.465,0.2222,Aparelhos elétricos e não-elétricos
12-2001,Televisor,-0.471,0.2222,Aparelhos elétricos e não-elétricos
12-2002,Televisor,-0.43,0.2222,Aparelhos elétricos e não-elétricos
12-2003,Televisor,-0.507,0.2222,Aparelhos elétricos e não-elétricos
12-2004,Televisor,-0.538,0.2222,Aparelhos elétricos e não-elétricos
12-2005,Televisor,-0.611,0.2222,Aparelhos elétricos e não-elétricos
12-2006,Televisor,-0.695,0.2222,Aparelhos elétricos e não-elétricos
12-2007,Televisor,-0.736,0.2222,Aparelhos elétricos e não-elétricos
12-2008,Televisor,-0.771,0.2222,Aparelhos elétricos e não-elétricos
12-2009,Televisor,-0.777,0.2222,Aparelhos elétricos e não-elétricos
12-2010,Televisor,-0.836,0.2222,Aparelhos elétricos e não-elétricos
12-2011,Televisor,-0.873,0.2222,Aparelhos elétricos e não-elétricos
12-2012,Televisor,-0.896,0.2222,Aparelhos elétricos e não-elétricos
12-2013,Televisor,-0.903,0.2222,Aparelhos elétricos e não-elétricos
05-2014,Televisor,-0.909,0.2222,Aparelhos elétricos e não-elétricos
12-1994,Máquina de lavar roupa,0,0.2215,Aparelhos elétricos e não-elétricos
12-1995,Máquina de lavar roupa,-0.124,0.2215,Aparelhos elétricos e não-elétricos
12-1996,Máquina de lavar roupa,-0.17,0.2215,Aparelhos elétricos e não-elétricos
12-1997,Máquina de lavar roupa,-0.24,0.2215,Aparelhos elétricos e não-elétricos
12-1998,Máquina de lavar roupa,-0.203,0.2215,Aparelhos elétricos e não-elétricos
12-1999,Máquina de lavar roupa,-0.209,0.2215,Aparelhos elétricos e não-elétricos
12-2000,Máquina de lavar roupa,-0.194,0.2215,Aparelhos elétricos e não-elétricos
12-2001,Máquina de lavar roupa,-0.255,0.2215,Aparelhos elétricos e não-elétricos
12-2002,Máquina de lavar roupa,-0.218,0.2215,Aparelhos elétricos e não-elétricos
12-2003,Máquina de lavar roupa,-0.207,0.2215,Aparelhos elétricos e não-elétricos
12-2004,Máquina de lavar roupa,-0.175,0.2215,Aparelhos elétricos e não-elétricos
12-2005,Máquina de lavar roupa,-0.167,0.2215,Aparelhos elétricos e não-elétricos
12-2006,Máquina de lavar roupa,-0.23,0.2215,Aparelhos elétricos e não-elétricos
12-2007,Máquina de lavar roupa,-0.302,0.2215,Aparelhos elétricos e não-elétricos
12-2008,Máquina de lavar roupa,-0.349,0.2215,Aparelhos elétricos e não-elétricos
12-2009,Máquina de lavar roupa,-0.433,0.2215,Aparelhos elétricos e não-elétricos
12-2010,Máquina de lavar roupa,-0.459,0.2215,Aparelhos elétricos e não-elétricos
12-2011,Máquina de lavar roupa,-0.515,0.2215,Aparelhos elétricos e não-elétricos
12-2012,Máquina de lavar roupa,-0.536,0.2215,Aparelhos elétricos e não-elétricos
12-2013,Máquina de lavar roupa,-0.547,0.2215,Aparelhos elétricos e não-elétricos
05-2014,Máquina de lavar roupa,-0.543,0.2215,Aparelhos elétricos e não-elétricos
12-1994,Sapato masculino,0,0.2108,Calçados e acessórios
12-1995,Sapato masculino,-0.139,0.2108,Calçados e acessórios
12-1996,Sapato masculino,-0.215,0.2108,Calçados e acessórios
12-1997,Sapato masculino,-0.266,0.2108,Calçados e acessórios
12-1998,Sapato masculino,-0.323,0.2108,Calçados e acessórios
12-1999,Sapato masculino,-0.365,0.2108,Calçados e acessórios
12-2000,Sapato masculino,-0.347,0.2108,Calçados e acessórios
12-2001,Sapato masculino,-0.332,0.2108,Calçados e acessórios
12-2002,Sapato masculino,-0.35,0.2108,Calçados e acessórios
12-2003,Sapato masculino,-0.334,0.2108,Calçados e acessórios
12-2004,Sapato masculino,-0.332,0.2108,Calçados e acessórios
12-2005,Sapato masculino,-0.334,0.2108,Calçados e acessórios
12-2006,Sapato masculino,-0.326,0.2108,Calçados e acessórios
12-2007,Sapato masculino,-0.338,0.2108,Calçados e acessórios
12-2008,Sapato masculino,-0.351,0.2108,Calçados e acessórios
12-2009,Sapato masculino,-0.358,0.2108,Calçados e acessórios
12-2010,Sapato masculino,-0.365,0.2108,Calçados e acessórios
12-2011,Sapato masculino,-0.37,0.2108,Calçados e acessórios
12-2012,Sapato masculino,-0.355,0.2108,Calçados e acessórios
12-2013,Sapato masculino,-0.353,0.2108,Calçados e acessórios
05-2014,Sapato masculino,-0.369,0.2108,Calçados e acessórios
12-1994,Papel higiênico,0,0.2096,Cuidados pessoais
12-1995,Papel higiênico,0.174,0.2096,Cuidados pessoais
12-1996,Papel higiênico,0.025,0.2096,Cuidados pessoais
12-1997,Papel higiênico,-0.074,0.2096,Cuidados pessoais
12-1998,Papel higiênico,-0.113,0.2096,Cuidados pessoais
12-1999,Papel higiênico,0.224,0.2096,Cuidados pessoais
12-2000,Papel higiênico,0.208,0.2096,Cuidados pessoais
12-2001,Papel higiênico,0.409,0.2096,Cuidados pessoais
12-2002,Papel higiênico,0.423,0.2096,Cuidados pessoais
12-2003,Papel higiênico,0.404,0.2096,Cuidados pessoais
12-2004,Papel higiênico,0.339,0.2096,Cuidados pessoais
12-2005,Papel higiênico,0.162,0.2096,Cuidados pessoais
12-2006,Papel higiênico,0.138,0.2096,Cuidados pessoais
12-2007,Papel higiênico,0.121,0.2096,Cuidados pessoais
12-2008,Papel higiênico,0.143,0.2096,Cuidados pessoais
12-2009,Papel higiênico,0.116,0.2096,Cuidados pessoais
12-2010,Papel higiênico,0.126,0.2096,Cuidados pessoais
12-2011,Papel higiênico,0.13,0.2096,Cuidados pessoais
12-2012,Papel higiênico,0.163,0.2096,Cuidados pessoais
12-2013,Papel higiênico,0.133,0.2096,Cuidados pessoais
05-2014,Papel higiênico,0.156,0.2096,Cuidados pessoais
12-1994,Feijão - carioca (rajado),0,0.2083,Alimentação no domicílio
12-1995,Feijão - carioca (rajado),-0.292,0.2083,Alimentação no domicílio
12-1996,Feijão - carioca (rajado),-0.115,0.2083,Alimentação no domicílio
12-1997,Feijão - carioca (rajado),-0.393,0.2083,Alimentação no domicílio
12-1998,Feijão - carioca (rajado),0.293,0.2083,Alimentação no domicílio
12-1999,Feijão - carioca (rajado),-0.106,0.2083,Alimentação no domicílio
12-2000,Feijão - carioca (rajado),-0.214,0.2083,Alimentação no domicílio
12-2001,Feijão - carioca (rajado),-0.098,0.2083,Alimentação no domicílio
12-2002,Feijão - carioca (rajado),0.296,0.2083,Alimentação no domicílio
12-2003,Feijão - carioca (rajado),-0.083,0.2083,Alimentação no domicílio
12-2004,Feijão - carioca (rajado),-0.004,0.2083,Alimentação no domicílio
12-2005,Feijão - carioca (rajado),-0.131,0.2083,Alimentação no domicílio
12-2006,Feijão - carioca (rajado),-0.149,0.2083,Alimentação no domicílio
12-2007,Feijão - carioca (rajado),0.99,0.2083,Alimentação no domicílio
12-2008,Feijão - carioca (rajado),0.325,0.2083,Alimentação no domicílio
12-2009,Feijão - carioca (rajado),-0.185,0.2083,Alimentação no domicílio
12-2010,Feijão - carioca (rajado),0.259,0.2083,Alimentação no domicílio
12-2011,Feijão - carioca (rajado),0.149,0.2083,Alimentação no domicílio
12-2012,Feijão - carioca (rajado),0.428,0.2083,Alimentação no domicílio
12-2013,Feijão - carioca (rajado),0.115,0.2083,Alimentação no domicílio
05-2014,Feijão - carioca (rajado),0.159,0.2083,Alimentação no domicílio
12-1994,Bolsa,0,0.2082,Calçados e acessórios
12-1995,Bolsa,-0.128,0.2082,Calçados e acessórios
12-1996,Bolsa,-0.24,0.2082,Calçados e acessórios
12-1997,Bolsa,-0.335,0.2082,Calçados e acessórios
12-1998,Bolsa,-0.349,0.2082,Calçados e acessórios
12-1999,Bolsa,-0.37,0.2082,Calçados e acessórios
12-2000,Bolsa,-0.385,0.2082,Calçados e acessórios
12-2001,Bolsa,-0.4,0.2082,Calçados e acessórios
12-2002,Bolsa,-0.407,0.2082,Calçados e acessórios
12-2003,Bolsa,-0.397,0.2082,Calçados e acessórios
12-2004,Bolsa,-0.384,0.2082,Calçados e acessórios
12-2005,Bolsa,-0.379,0.2082,Calçados e acessórios
12-2006,Bolsa,-0.35,0.2082,Calçados e acessórios
12-2007,Bolsa,-0.305,0.2082,Calçados e acessórios
12-2008,Bolsa,-0.255,0.2082,Calçados e acessórios
12-2009,Bolsa,-0.247,0.2082,Calçados e acessórios
12-2010,Bolsa,-0.243,0.2082,Calçados e acessórios
12-2011,Bolsa,-0.26,0.2082,Calçados e acessórios
12-2012,Bolsa,-0.262,0.2082,Calçados e acessórios
12-2013,Bolsa,-0.218,0.2082,Calçados e acessórios
05-2014,Bolsa,-0.245,0.2082,Calçados e acessórios
12-1994,Banana - prata,0,0.2075,Alimentação no domicílio
12-1995,Banana - prata,-0.192,0.2075,Alimentação no domicílio
12-1996,Banana - prata,-0.298,0.2075,Alimentação no domicílio
12-1997,Banana - prata,-0.414,0.2075,Alimentação no domicílio
12-1998,Banana - prata,-0.276,0.2075,Alimentação no domicílio
12-1999,Banana - prata,-0.309,0.2075,Alimentação no domicílio
12-2000,Banana - prata,-0.366,0.2075,Alimentação no domicílio
12-2001,Banana - prata,-0.376,0.2075,Alimentação no domicílio
12-2002,Banana - prata,-0.395,0.2075,Alimentação no domicílio
12-2003,Banana - prata,-0.334,0.2075,Alimentação no domicílio
12-2004,Banana - prata,-0.383,0.2075,Alimentação no domicílio
12-2005,Banana - prata,-0.346,0.2075,Alimentação no domicílio
12-2006,Banana - prata,-0.286,0.2075,Alimentação no domicílio
12-2007,Banana - prata,-0.262,0.2075,Alimentação no domicílio
12-2008,Banana - prata,-0.222,0.2075,Alimentação no domicílio
12-2009,Banana - prata,-0.21,0.2075,Alimentação no domicílio
12-2010,Banana - prata,-0.202,0.2075,Alimentação no domicílio
12-2011,Banana - prata,-0.183,0.2075,Alimentação no domicílio
12-2012,Banana - prata,-0.137,0.2075,Alimentação no domicílio
12-2013,Banana - prata,0.019,0.2075,Alimentação no domicílio
05-2014,Banana - prata,0.088,0.2075,Alimentação no domicílio
12-1994,Fogão,0,0.2073,Aparelhos elétricos e não-elétricos
12-1995,Fogão,-0.018,0.2073,Aparelhos elétricos e não-elétricos
12-1996,Fogão,-0.026,0.2073,Aparelhos elétricos e não-elétricos
12-1997,Fogão,-0.087,0.2073,Aparelhos elétricos e não-elétricos
12-1998,Fogão,-0.099,0.2073,Aparelhos elétricos e não-elétricos
12-1999,Fogão,-0.084,0.2073,Aparelhos elétricos e não-elétricos
12-2000,Fogão,-0.042,0.2073,Aparelhos elétricos e não-elétricos
12-2001,Fogão,-0.111,0.2073,Aparelhos elétricos e não-elétricos
12-2002,Fogão,-0.118,0.2073,Aparelhos elétricos e não-elétricos
12-2003,Fogão,-0.071,0.2073,Aparelhos elétricos e não-elétricos
12-2004,Fogão,-0.054,0.2073,Aparelhos elétricos e não-elétricos
12-2005,Fogão,-0.003,0.2073,Aparelhos elétricos e não-elétricos
12-2006,Fogão,-0.013,0.2073,Aparelhos elétricos e não-elétricos
12-2007,Fogão,-0.053,0.2073,Aparelhos elétricos e não-elétricos
12-2008,Fogão,-0.083,0.2073,Aparelhos elétricos e não-elétricos
12-2009,Fogão,-0.134,0.2073,Aparelhos elétricos e não-elétricos
12-2010,Fogão,-0.192,0.2073,Aparelhos elétricos e não-elétricos
12-2011,Fogão,-0.281,0.2073,Aparelhos elétricos e não-elétricos
12-2012,Fogão,-0.29,0.2073,Aparelhos elétricos e não-elétricos
12-2013,Fogão,-0.256,0.2073,Aparelhos elétricos e não-elétricos
05-2014,Fogão,-0.28,0.2073,Aparelhos elétricos e não-elétricos
12-1994,Farinha de mandioca,0,0.2029,Alimentação no domicílio
12-1995,Farinha de mandioca,0.126,0.2029,Alimentação no domicílio
12-1996,Farinha de mandioca,0.084,0.2029,Alimentação no domicílio
12-1997,Farinha de mandioca,-0.084,0.2029,Alimentação no domicílio
12-1998,Farinha de mandioca,0.003,0.2029,Alimentação no domicílio
12-1999,Farinha de mandioca,0.023,0.2029,Alimentação no domicílio
12-2000,Farinha de mandioca,-0.082,0.2029,Alimentação no domicílio
12-2001,Farinha de mandioca,-0.172,0.2029,Alimentação no domicílio
12-2002,Farinha de mandioca,0.139,0.2029,Alimentação no domicílio
12-2003,Farinha de mandioca,0.603,0.2029,Alimentação no domicílio
12-2004,Farinha de mandioca,0.189,0.2029,Alimentação no domicílio
12-2005,Farinha de mandioca,0.025,0.2029,Alimentação no domicílio
12-2006,Farinha de mandioca,0.113,0.2029,Alimentação no domicílio
12-2007,Farinha de mandioca,0.276,0.2029,Alimentação no domicílio
12-2008,Farinha de mandioca,0.351,0.2029,Alimentação no domicílio
12-2009,Farinha de mandioca,0.331,0.2029,Alimentação no domicílio
12-2010,Farinha de mandioca,0.47,0.2029,Alimentação no domicílio
